id	name
0	a,
1	a,Equipment\0
2	a,Item\0
3	a,Quest Item\0
4	a,Bronze\0
5	a,Steel\0
6	a,Wood\0
7	a,Bone\0
8	a,Cloth\0
9	a,Leather\0
10	a,Cotton\0
11	a,Fine Steel\0
12	a,Oriharukon\0
13	a,Damascus\0
14	a,Adamantaite\0
15	a,Blood Steel\0
16	a,Paper\0
17	a,Chrysolite\0
18	a,Silver\0
19	a,Gold\0
20	a,Adamantaite\0
21	a,Mithril\0
22	a,Horn\0
23	a,Born of Dragon\0
24	a,Crystal\0
25	a,Dyestuff\0
26	a,Cobweb\0
27	a,None\0
28	a,Underwear\0
29	a,Rear\0
30	a,Lear\0
31	a,Neck\0
32	a,Rfinger\0
33	a,Lfinger\0
34	a,Head\0
35	a,Rhand\0
36	a,Lhand\0
37	a,Gloves\0
38	a,Chest\0
39	a,Legs\0
40	a,Feet\0
41	a,Back\0
42	a,Lrhand\0
43	a,Sword\0
44	a,Blunt\0
45	a,Dagger\0
46	a,Pole\0
47	a,Fist\0
48	a,Bow\0
49	a,Etc\0
50	a,Name\0
51	a,Slot\0
52	a,Weight\0
53	a,Material\0
54	a,P. Def.\0
55	a,P. Atk.\0
56	a,Weapon Type\0
57	a,Description\0
58	a,Air\0
59	a,Branch of Orbis Arbor\0
60	a,Branch of Worldtree\0
61	a,Brass\0
62	a,Corpse\0
63	a,Crow\0
64	a,Diamond\0
65	a,Drug\0
66	a,Eyeball\0
67	a,Feather\0
68	a,Flax\0
69	a,Fur\0
70	a,Hatching Egg\0
71	a,Insect\0
72	a,Leather of Dragon\0
73	a,Leather of Drake\0
74	a,Leather of Lion\0
75	a,Leather of Manticore\0
76	a,Leather of Puma\0
77	a,Leather of Salamander\0
78	a,Leather of Unicorn\0
79	a,Liquid\0
80	a,Parchment\0
81	a,Sand\0
82	a,Scale of Dragon\0
83	a,Silk\0
84	a,Skull\0
85	a,Skull of Wyvern\0
86	a,Water\0
87	a,Wool\0
88	a,Lv\0
89	a,Exp\0
90	a,HP\0
91	a,MP\0
92	a,SP\0
93	a,Combat\0
94	a,P. Atk.\0
95	a,P. Def.\0
96	a,Accuracy\0
97	a,Evasion\0
98	a,M.Atk.\0
99	a,M. Def.\0
100	a,Social\0
101	a,Karma\0
102	a,PvP/PK\0
103	a,Basic\0
104	a,STR\0
105	a,DEX\0
106	a,CON\0
107	a,INT\0
108	a,WIT\0
109	a,MEN\0
110	a,2nd Attributes\0
111	a,Atk. Spd.\0
112	a,Casting Spd.\0
113	a,Crit. Rate\0
114	a,Load\0
115	a,Condition\0
116	a,Equip\0
117	a,Item\0
118	a,Quest\0
119	a,Skills\0
120	a,Active\0
121	a,Passive\0
122	a,Spells\0
123	a,I\0
124	a,II\0
125	a,III\0
126	a,IV\0
127	a,Actions\0
128	a,@Clan\0
129	a,Basic\0
130	a,Party\0
131	a,Warehouse\0
132	a,Stored Items\0
133	a,Items to Retrieve\0
134	a,Adena\0
135	a,Fee\0
136	a,Store\0
137	a,Items on Sale\0
138	a,Inventory\0
139	a,Items to Buy\0
140	a,OK\0
141	a,Cancel\0
142	a,Price\0
143	a,Price\0
144	a,All\0
145	a,Help\0
146	a,Options\0
147	a,Restart\0
148	a,Exit Game\0
149	a,Log In\0
150	a,ID\0
151	a,PWD\0
152	a,Log In\0
153	a,Exit\0
154	a,New Account\0
155	a,Lost Account\0
156	a,Options\0
157	a,Select Character\0
158	a,Create\0
159	a,Delete\0
160	a,Start\0
161	a,Previous\0
162	a,Create Character\0
163	a,Name\0
164	a,Race\0
165	a,Class\0
166	a,Gender\0
167	a,Hairstyle\0
168	a,Hair Color\0
169	a,Face\0
170	a,Human\0
171	a,Elf\0
172	a,Dark Elf\0
173	a,Orc\0
174	a,Dwarf\0
175	a,Fighter\0
176	a,Mystic\0
177	a,Male\0
